Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,38,odontosyllis_best|TRINITY_DN41904_c0_g1_i1,126.40,47,13,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67611,odontosyllis_best|TRINITY_DN41904_c0_g1_i1
7,8,odontosyllis_best|TRINITY_DN42466_c0_g1_i1,118.84,20,13,13,Carbamidomethylation; Deamidation (NQ),161876,odontosyllis_best|TRINITY_DN42466_c0_g1_i1
4,44,odontosyllis_best|TRINITY_DN41904_c0_g1_i6,112.08,43,12,2,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67487,odontosyllis_best|TRINITY_DN41904_c0_g1_i6
5,1,odontosyllis_best|TRINITY_DN44444_c3_g1_i3,108.02,29,10,4,Oxidation (M); Deamidation (NQ),101648,odontosyllis_best|TRINITY_DN44444_c3_g1_i3
14,86,odontosyllis_best|TRINITY_DN46258_c3_g2_i8,94.07,28,7,7,Carbamidomethylation,83094,odontosyllis_best|TRINITY_DN46258_c3_g2_i8
6,4,odontosyllis_best|TRINITY_DN47012_c9_g1_i3,93.46,16,7,1,Oxidation (M); Deamidation (NQ),145695,odontosyllis_best|TRINITY_DN47012_c9_g1_i3
6,3,odontosyllis_best|TRINITY_DN47012_c9_g1_i7,93.46,16,7,1,Oxidation (M); Deamidation (NQ),146915,odontosyllis_best|TRINITY_DN47012_c9_g1_i7
16,2667,odontosyllis_best|TRINITY_DN37537_c0_g1_i2,87.95,9,5,5,,140459,odontosyllis_best|TRINITY_DN37537_c0_g1_i2
8,42,odontosyllis_best|TRINITY_DN47034_c9_g1_i2,82.34,28,8,1,Carbamidomethylation; Deamidation (NQ),72781,odontosyllis_best|TRINITY_DN47034_c9_g1_i2
8,43,odontosyllis_best|TRINITY_DN47034_c9_g1_i9,82.34,24,8,1,Carbamidomethylation; Deamidation (NQ),83024,odontosyllis_best|TRINITY_DN47034_c9_g1_i9
10,141,odontosyllis_best|TRINITY_DN41904_c0_g1_i3,81.24,21,4,1,Carbamidomethylation; Oxidation (M),45715,odontosyllis_best|TRINITY_DN41904_c0_g1_i3
22,52,odontosyllis_best|TRINITY_DN41547_c4_g1_i1,74.68,5,4,4,,226254,odontosyllis_best|TRINITY_DN41547_c4_g1_i1
18,2668,odontosyllis_best|TRINITY_DN42647_c4_g1_i1,73.97,4,3,3,,215462,odontosyllis_best|TRINITY_DN42647_c4_g1_i1
13,150,odontosyllis_best|TRINITY_DN39051_c0_g1_i1,72.23,11,5,5,Oxidation (M),160043,odontosyllis_best|TRINITY_DN39051_c0_g1_i1
24,2675,odontosyllis_best|TRINITY_DN44350_c1_g1_i1,62.99,3,3,3,Carbamidomethylation,243785,odontosyllis_best|TRINITY_DN44350_c1_g1_i1
20,2680,odontosyllis_best|TRINITY_DN46030_c1_g1_i1,60.52,5,2,2,Carbamidomethylation,144886,odontosyllis_best|TRINITY_DN46030_c1_g1_i1
20,2681,odontosyllis_best|TRINITY_DN46030_c1_g1_i2,60.52,5,2,2,Carbamidomethylation,146013,odontosyllis_best|TRINITY_DN46030_c1_g1_i2
23,2669,odontosyllis_best|TRINITY_DN41961_c8_g1_i10,57.58,6,4,4,Carbamidomethylation,184217,odontosyllis_best|TRINITY_DN41961_c8_g1_i10
23,2670,odontosyllis_best|TRINITY_DN41961_c8_g1_i5,57.58,6,4,4,Carbamidomethylation,184047,odontosyllis_best|TRINITY_DN41961_c8_g1_i5
23,1770,odontosyllis_best|TRINITY_DN41961_c8_g1_i1,57.58,6,4,4,Carbamidomethylation,184535,odontosyllis_best|TRINITY_DN41961_c8_g1_i1
23,2671,odontosyllis_best|TRINITY_DN41961_c8_g1_i9,57.58,6,4,4,Carbamidomethylation,184705,odontosyllis_best|TRINITY_DN41961_c8_g1_i9
23,2672,odontosyllis_best|TRINITY_DN41961_c8_g1_i12,57.58,6,4,4,Carbamidomethylation,185759,odontosyllis_best|TRINITY_DN41961_c8_g1_i12
23,2673,odontosyllis_best|TRINITY_DN41961_c8_g1_i14,57.58,6,4,4,Carbamidomethylation,185929,odontosyllis_best|TRINITY_DN41961_c8_g1_i14
19,2674,odontosyllis_best|TRINITY_DN43442_c2_g1_i1,56.47,6,3,3,,131231,odontosyllis_best|TRINITY_DN43442_c2_g1_i1
15,2690,odontosyllis_best|TRINITY_DN42579_c3_g3_i1,55.34,18,3,2,Oxidation (M),36692,odontosyllis_best|TRINITY_DN42579_c3_g3_i1
39,16,odontosyllis_best|TRINITY_DN43285_c4_g1_i2,55.16,4,2,2,,141151,odontosyllis_best|TRINITY_DN43285_c4_g1_i2
39,12,odontosyllis_best|TRINITY_DN43285_c4_g1_i1,55.16,4,2,2,,165698,odontosyllis_best|TRINITY_DN43285_c4_g1_i1
30,101,odontosyllis_best|TRINITY_DN45769_c8_g1_i1,54.09,2,1,1,,191550,odontosyllis_best|TRINITY_DN45769_c8_g1_i1
30,102,odontosyllis_best|TRINITY_DN45769_c8_g1_i2,54.09,2,1,1,,191042,odontosyllis_best|TRINITY_DN45769_c8_g1_i2
38,179,odontosyllis_best|TRINITY_DN44194_c3_g1_i4,53.81,1,2,2,Carbamidomethylation; Deamidation (NQ),385769,odontosyllis_best|TRINITY_DN44194_c3_g1_i4
38,180,odontosyllis_best|TRINITY_DN44194_c3_g1_i5,53.81,1,2,2,Carbamidomethylation; Deamidation (NQ),387271,odontosyllis_best|TRINITY_DN44194_c3_g1_i5
38,181,odontosyllis_best|TRINITY_DN44194_c3_g1_i9,53.81,1,2,2,Carbamidomethylation; Deamidation (NQ),387717,odontosyllis_best|TRINITY_DN44194_c3_g1_i9
38,182,odontosyllis_best|TRINITY_DN44194_c3_g1_i10,53.81,1,2,2,Carbamidomethylation; Deamidation (NQ),389173,odontosyllis_best|TRINITY_DN44194_c3_g1_i10
38,170,odontosyllis_best|TRINITY_DN44194_c3_g1_i11,53.81,1,2,2,Carbamidomethylation; Deamidation (NQ),443050,odontosyllis_best|TRINITY_DN44194_c3_g1_i11
